timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
4.00;18.45;veh19;509517425_1;11.17;0.00;3.95;veh_passenger;7750.15;2601.58
4.00;200.19;veh2;453093499#1_0;19.81;0.00;7.07;veh_passenger;7567.13;2481.65
4.00;163.88;veh20;40369301#1_0;12.07;0.00;4.54;veh_passenger;5502.57;2484.43
4.00;75.28;veh21;138268403_0;10.72;0.00;3.91;veh_passenger;6002.44;2622.65
4.00;320.55;veh22;-242364209_0;17.83;0.00;12.73;veh_passenger;4699.93;3474.74
4.00;349.50;veh23;-272600175_0;7.29;0.00;2.19;veh_passenger;8522.28;2387.51
4.00;162.54;veh24;:4459224273_0_0;1.41;0.00;1.71;veh_passenger;3156.13;4131.77
4.00;262.33;veh25;19782701#1_0;7.51;0.00;2.41;veh_passenger;11810.06;3575.02
4.00;348.16;veh27;322588817#2_0;7.48;0.00;2.38;veh_passenger;6817.81;2766.88
4.00;340.51;veh28;:256231805_0_0;1.62;0.00;4.42;veh_passenger;1833.91;3799.12
4.00;305.64;veh29;-52856189_0;13.98;0.00;8.88;veh_passenger;12057.09;4029.15
4.00;348.20;veh3;532824129_0;15.00;0.00;5.00;veh_passenger;11063.07;3378.86
4.00;48.70;veh30;:cluster_312399408_4581629680_4_0;2.32;0.00;2.32;veh_passenger;8472.76;1763.71
4.00;348.16;veh31;24636698_0;14.48;0.00;9.38;veh_passenger;6146.41;3566.40
4.00;79.86;veh32;48397535#1_0;6.42;0.00;1.32;veh_passenger;8814.39;4723.30
4.00;52.03;veh33;138630336_1;5.10;0.00;0.00;veh_passenger;6219.22;3772.52
4.00;69.01;veh34;166648662_0;5.10;0.00;0.00;veh_passenger;3964.03;3790.87
4.00;174.55;veh35;131270042#0_0;5.10;0.00;12.83;veh_passenger;6947.28;4951.44
4.00;47.93;veh36;531587909#0_0;5.10;0.00;0.00;veh_passenger;4609.93;3439.29
4.00;49.54;veh37;322978493_3;5.10;0.00;19.53;veh_passenger;6066.77;1667.43
4.00;355.51;veh38;627861844_0;5.10;0.00;0.00;veh_passenger;9880.39;2868.69
4.00;235.89;veh39;141895226#1_0;5.10;0.00;0.00;veh_passenger;11048.27;4283.17
4.00;138.65;veh4;20285539#1_0;18.72;0.00;6.90;veh_passenger;3566.14;3222.90
4.00;165.82;veh40;256405906_0;5.10;0.00;0.00;veh_passenger;10971.17;3501.17
4.00;155.24;veh41;26152717_0;5.10;0.00;0.00;veh_passenger;3625.77;4253.09
4.00;252.42;veh42;19788536#0_0;5.10;0.00;0.00;veh_passenger;5195.80;2971.75
4.00;131.24;veh43;98188150#0_0;5.10;0.00;0.00;veh_passenger;4549.02;2514.43
4.00;219.53;veh7;322784638_1;14.34;0.00;4.79;veh_passenger;6479.23;2163.62
4.00;175.02;veh8;136792915_0;29.99;0.00;8.68;veh_passenger;9844.39;4824.12
4.00;271.30;veh9;47402191#0_5;56.64;0.00;17.22;veh_passenger;5018.17;4757.57
5.00;217.84;veh1;144844721_0;25.78;0.00;7.59;veh_passenger;12035.39;3843.43
5.00;271.30;veh10;47402191#0_5;46.42;0.00;14.05;veh_passenger;5028.15;4757.34
5.00;167.19;veh11;18906037#0_0;35.36;0.00;9.99;veh_passenger;8379.18;5525.94
5.00;244.18;veh12;75032476#0_0;32.09;0.00;9.25;veh_passenger;12351.46;3763.75
5.00;255.47;veh13;-25964861#0_0;17.17;0.00;6.19;veh_passenger;5426.84;2659.25
5.00;177.66;veh14;48486472#1_0;17.45;0.00;6.23;veh_passenger;10089.21;4434.21
5.00;271.30;veh15;47402191#0_5;27.38;0.00;12.02;veh_passenger;5046.74;4756.92
5.00;155.32;veh16;22876868_0;31.90;0.00;5.27;veh_passenger;3560.51;4398.85
5.00;84.34;veh17;19783060#0_0;52.52;0.00;16.46;veh_passenger;5196.76;1659.07
5.00;355.85;veh18;48101521_0;17.05;0.00;6.25;veh_passenger;7572.72;4555.49
5.00;4.73;veh19;:4473526445_7_0;4.85;0.00;6.42;veh_passenger;7751.01;2607.87
5.00;200.19;veh2;453093499#1_0;29.06;0.00;9.25;veh_passenger;7563.94;2472.97
5.00;163.88;veh20;40369301#1_0;19.12;0.00;7.05;veh_passenger;5504.53;2477.66
5.00;75.28;veh21;138268403_0;16.08;0.00;5.36;veh_passenger;6007.62;2624.01
5.00;320.55;veh22;-242364209_0;30.15;0.00;12.32;veh_passenger;4692.10;3484.26
5.00;349.50;veh23;-272600175_0;10.00;0.00;2.71;veh_passenger;8521.79;2390.18
5.00;162.54;veh24;:4459224273_0_0;4.88;0.00;3.46;veh_passenger;3157.17;4128.47
5.00;262.33;veh25;19782701#1_0;11.39;0.00;3.87;veh_passenger;11806.23;3574.50
5.00;348.16;veh27;322588817#2_0;11.74;0.00;4.27;veh_passenger;6816.93;2771.05
5.00;11.63;veh28;:256231805_0_0;6.09;0.00;4.48;veh_passenger;1834.98;3803.22
5.00;305.64;veh29;-52856189_0;23.05;0.00;9.07;veh_passenger;12049.72;4034.43
5.00;348.20;veh3;532824129_0;21.97;0.00;6.98;veh_passenger;11061.65;3385.69
5.00;46.70;veh30;:cluster_312399408_4581629680_4_0;7.11;0.00;4.78;veh_passenger;8476.24;1766.99
5.00;348.16;veh31;24636698_0;25.02;0.00;10.54;veh_passenger;6144.25;3576.71
5.00;79.86;veh32;48397535#1_0;10.24;0.00;3.82;veh_passenger;8818.15;4723.97
5.00;52.03;veh33;138630336_1;6.87;0.00;1.77;veh_passenger;6220.63;3773.62
5.00;69.01;veh34;166648662_0;6.62;0.00;1.52;veh_passenger;3965.45;3791.41
5.00;174.55;veh35;131270042#0_0;16.99;0.00;11.89;veh_passenger;6948.41;4939.60
5.00;47.93;veh36;531587909#0_0;7.48;0.00;2.38;veh_passenger;4611.69;3440.88
5.00;49.54;veh37;322978493_3;24.02;0.00;18.92;veh_passenger;6080.93;1679.50
5.00;355.51;veh38;627861844_0;6.68;0.00;1.58;veh_passenger;9880.27;2870.26
5.00;235.89;veh39;141895226#1_0;6.40;0.00;1.30;veh_passenger;11047.18;4282.42
5.00;138.65;veh4;20285539#1_0;27.31;0.00;8.59;veh_passenger;3571.81;3216.45
5.00;165.82;veh40;256405906_0;6.98;0.00;1.88;veh_passenger;10971.63;3499.34
5.00;155.24;veh41;26152717_0;7.18;0.00;2.08;veh_passenger;3626.64;4251.20
5.00;252.42;veh42;19788536#0_0;6.50;0.00;1.40;veh_passenger;5194.47;2971.33
5.00;131.24;veh43;98188150#0_0;6.89;0.00;1.79;veh_passenger;4550.37;2513.25
5.00;255.33;veh44;-25915709#5_1;5.10;0.00;0.00;veh_passenger;5592.86;3448.55
5.00;167.05;veh45;-311851485#3_1;5.10;0.00;0.00;veh_passenger;6689.26;3292.21
5.00;181.61;veh46;47371222#2_0;5.10;0.00;0.00;veh_passenger;7465.25;2521.64
5.00;311.93;veh47;-21619595#2_0;5.10;0.00;0.00;veh_passenger;3486.58;1869.28
5.00;260.16;veh50;-136793803_1;5.10;0.00;0.00;veh_passenger;7404.25;3975.73
5.00;220.57;veh51;37414397_0;5.10;0.00;0.00;veh_passenger;11902.82;4141.91
5.00;251.08;veh52;141895235#1_0;5.10;0.00;0.00;veh_passenger;12105.36;4744.23
5.00;310.04;veh53;-322978479#4_1;5.10;0.00;0.00;veh_passenger;6609.14;1789.34
5.00;219.53;veh7;322784638_1;20.54;0.00;6.21;veh_passenger;6475.27;2158.84
5.00;175.02;veh8;136792915_0;38.18;0.00;8.20;veh_passenger;9845.11;4815.95
5.00;271.30;veh9;47402191#0_5;73.48;0.00;16.83;veh_passenger;5001.74;4757.94
6.00;217.84;veh1;144844721_0;34.74;0.00;8.96;veh_passenger;12029.90;3836.36
6.00;271.30;veh10;47402191#0_5;61.10;0.00;14.68;veh_passenger;5013.82;4757.67
6.00;167.19;veh11;18906037#0_0;44.57;0.00;9.21;veh_passenger;8381.22;5516.96
6.00;244.18;veh12;75032476#0_0;41.58;0.00;9.49;veh_passenger;12342.91;3759.62
6.00;255.47;veh13;-25964861#0_0;25.88;0.00;8.71;veh_passenger;5418.41;2657.07
6.00;177.66;veh14;48486472#1_0;25.55;0.00;8.09;veh_passenger;10089.54;4426.12
6.00;271.30;veh15;47402191#0_5;39.85;0.00;12.48;veh_passenger;5034.56;4757.20
6.00;148.20;veh16;:245945890_4_0;5.01;0.00;6.66;veh_passenger;3563.83;4393.10
6.00;87.95;veh17;19783060#0_0;68.41;0.00;15.88;veh_passenger;5212.60;1659.98
6.00;355.85;veh18;48101521_0;25.11;0.00;8.06;veh_passenger;7572.13;4563.53
6.00;345.64;veh19;:4473526445_7_0;12.78;0.00;7.92;veh_passenger;7748.78;2615.36
6.00;200.19;veh2;453093499#1_0;38.89;0.00;9.83;veh_passenger;7560.55;2463.74
6.00;163.88;veh20;40369301#1_0;27.90;0.00;8.78;veh_passenger;5506.97;2469.23
6.00;75.28;veh21;138268403_0;22.86;0.00;6.78;veh_passenger;6014.17;2625.74
6.00;320.55;veh22;-242364209_0;39.35;0.00;9.20;veh_passenger;4686.25;3491.36
6.00;349.50;veh23;-272600175_0;11.62;0.00;1.61;veh_passenger;8521.49;2391.76
