,timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
1851,170.0,208.49,veh33,51574893_0,24.14,0.0,8.25,veh_passenger,366.59,2114.49
1867,171.0,215.85,veh32,18908030_0,209.95,0.0,16.53,veh_passenger,288.87,2031.22
1868,171.0,211.1,veh33,51574893_0,32.41,0.0,8.27,veh_passenger,362.33,2107.41
1884,172.0,215.83,veh32,18908030_0,226.14,0.0,16.19,veh_passenger,279.42,2018.13
1885,172.0,211.1,veh33,51574893_0,39.62,0.0,7.21,veh_passenger,358.61,2101.24
1901,173.0,215.81,veh32,18908030_0,242.34,0.0,16.19,veh_passenger,270.02,2005.0
1902,173.0,211.1,veh33,51574893_0,47.78,0.0,8.16,veh_passenger,354.4,2094.27
1918,174.0,215.97,veh32,18908030_0,258.18,0.0,15.84,veh_passenger,260.74,1992.22
1919,174.0,211.1,veh33,51574893_0,56.12,0.0,8.34,veh_passenger,350.1,2087.14
1935,175.0,217.83,veh32,18908030_0,274.98,0.0,16.8,veh_passenger,250.77,1978.76
1936,175.0,211.1,veh33,51574893_0,63.98,0.0,7.86,veh_passenger,346.04,2080.41
1952,176.0,218.32,veh32,18908030_0,290.81,0.0,15.83,veh_passenger,240.98,1966.38
1953,176.0,211.1,veh33,51574893_0,72.11,0.0,8.13,veh_passenger,341.85,2073.46
1969,177.0,211.1,veh33,51574893_0,80.39,0.0,8.28,veh_passenger,337.58,2066.38
1985,178.0,211.1,veh33,51574893_0,88.5,0.0,8.11,veh_passenger,333.39,2059.44
2001,179.0,211.1,veh33,51574893_0,95.94,0.0,7.44,veh_passenger,329.55,2053.08
2018,180.0,211.1,veh33,51574893_0,104.24,0.0,8.3,veh_passenger,325.27,2045.98
2035,181.0,211.1,veh33,51574893_0,112.37,0.0,8.13,veh_passenger,321.08,2039.03
2052,182.0,211.1,veh33,51574893_0,119.92,0.0,7.55,veh_passenger,317.19,2032.57
2069,183.0,211.1,veh33,51574893_0,127.71,0.0,7.79,veh_passenger,313.17,2025.91
2087,184.0,211.1,veh33,51574893_0,135.71,0.0,8.0,veh_passenger,309.04,2019.07
2104,185.0,211.1,veh33,51574893_0,143.69,0.0,7.98,veh_passenger,304.92,2012.24
2121,186.0,211.1,veh33,51574893_0,151.76,0.0,8.07,veh_passenger,300.76,2005.34
2138,187.0,210.84,veh33,652398702_0,0.43,0.0,5.15,veh_passenger,298.09,2000.88
2155,188.0,208.84,veh33,652398702_0,5.19,0.0,4.77,veh_passenger,295.8,1996.71
2173,189.0,208.84,veh33,652398702_0,10.49,0.0,5.29,veh_passenger,293.25,1992.09
2191,190.0,208.84,veh33,652398702_0,15.86,0.0,5.37,veh_passenger,290.67,1987.39
2209,191.0,208.84,veh33,652398702_0,20.45,0.0,4.59,veh_passenger,288.46,1983.38
2227,192.0,208.84,veh33,652398702_0,25.89,0.0,5.44,veh_passenger,285.84,1978.62
2246,193.0,208.84,veh33,652398702_0,30.39,0.0,4.5,veh_passenger,283.68,1974.69
2265,194.0,208.84,veh33,652398702_0,34.89,0.0,4.5,veh_passenger,281.51,1970.77
2284,195.0,208.84,veh33,652398702_0,40.46,0.0,5.58,veh_passenger,278.83,1965.89
2303,196.0,208.84,veh33,652398702_0,45.89,0.0,5.43,veh_passenger,276.22,1961.15
2322,197.0,208.37,veh33,652398702_0,51.07,0.0,5.18,veh_passenger,273.76,1956.61
2340,198.0,210.73,veh33,652398702_0,55.68,0.0,4.61,veh_passenger,271.4,1952.67
2358,199.0,215.06,veh33,652398702_0,60.81,0.0,5.14,veh_passenger,268.46,1948.48
2376,200.0,215.0,veh33,652398702_0,65.82,0.0,5.01,veh_passenger,265.59,1944.38
2392,201.0,214.94,veh33,51574158_0,0.07,0.0,4.98,veh_passenger,262.74,1940.3
2408,202.0,214.97,veh33,51574158_0,6.79,0.0,6.72,veh_passenger,258.89,1934.8
2424,203.0,214.97,veh33,51574158_0,15.56,0.0,8.77,veh_passenger,253.86,1927.61
