,timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
13428,885.0,216.78,veh198,18908030_0,272.74,0.0,15.11,veh_passenger,252.16,1980.51
13446,886.0,218.32,veh198,18908030_0,287.78,0.0,15.04,veh_passenger,242.86,1968.75
15622,1035.0,203.4,veh239,18908030_0,8.26,0.0,19.53,veh_passenger,390.84,2203.89
15636,1036.0,203.4,veh239,18908030_0,28.6,0.0,20.33,veh_passenger,382.79,2185.29
15650,1037.0,206.85,veh239,18908030_0,48.17,0.0,19.57,veh_passenger,374.77,2167.51
15664,1038.0,208.2,veh239,18908030_0,68.46,0.0,20.29,veh_passenger,365.21,2149.68
15678,1039.0,209.69,veh239,18908030_0,87.76,0.0,19.3,veh_passenger,355.77,2132.91
15693,1040.0,209.69,veh239,18908030_0,107.4,0.0,19.64,veh_passenger,346.07,2115.9
15708,1041.0,213.29,veh239,18908030_0,126.62,0.0,19.22,veh_passenger,336.16,2099.51
15723,1042.0,213.29,veh239,18908030_0,146.92,0.0,20.3,veh_passenger,325.05,2082.59
15738,1043.0,214.75,veh239,18908030_0,166.61,0.0,19.69,veh_passenger,314.17,2066.26
15754,1044.0,215.83,veh239,18908030_0,186.72,0.0,20.11,veh_passenger,302.43,2050.0
15770,1045.0,215.85,veh239,18908030_0,206.82,0.0,20.1,veh_passenger,290.7,2033.75
15786,1046.0,215.78,veh239,18908030_0,226.84,0.0,20.02,veh_passenger,279.01,2017.57
15802,1047.0,215.97,veh239,18908030_0,247.27,0.0,20.43,veh_passenger,267.13,2001.03
15818,1048.0,215.97,veh239,18908030_0,266.52,0.0,19.25,veh_passenger,255.85,1985.49
15834,1049.0,218.32,veh239,18908030_0,286.22,0.0,19.7,veh_passenger,243.82,1969.97
19714,1255.0,203.4,veh289,18908030_0,13.44,0.0,14.2,veh_passenger,388.79,2199.16
19736,1256.0,203.4,veh289,18908030_0,28.28,0.0,14.84,veh_passenger,382.91,2185.58
19759,1257.0,203.4,veh289,18908030_0,42.81,0.0,14.54,veh_passenger,377.16,2172.28
19782,1258.0,208.2,veh289,18908030_0,57.09,0.0,14.27,veh_passenger,370.56,2159.67
19805,1259.0,208.2,veh289,18908030_0,71.15,0.0,14.06,veh_passenger,363.94,2147.32
