timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
61.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
62.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
63.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
64.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
65.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
66.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
67.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
68.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
69.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
70.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
71.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
72.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
73.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
74.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
75.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
76.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
77.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
78.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
79.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
80.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
81.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
82.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
83.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
84.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
85.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
86.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
87.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
88.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
89.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
90.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
91.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
92.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
93.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
94.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
95.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
96.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
97.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
98.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
99.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
100.00;133.03;veh2;23129542#0_1;59.05;0.00;0.00;veh_passenger;750.53;908.27
101.00;131.82;veh2;:cluster_199799887_5339766260_10_1;1.37;0.00;2.37;veh_passenger;752.33;906.73
102.00;129.55;veh2;:cluster_199799887_5339766260_10_1;5.58;0.00;4.21;veh_passenger;755.58;904.05
103.00;134.88;veh2;:cluster_199799887_5339766260_10_1;12.35;0.00;6.77;veh_passenger;760.41;899.33
104.00;132.64;veh2;:cluster_199799887_5339766260_10_1;21.08;0.00;8.73;veh_passenger;766.70;893.31
105.00;130.90;veh2;21630401_2;9.85;0.00;10.89;veh_passenger;777.00;888.57
106.00;130.90;veh2;21630401_2;20.85;0.00;11.01;veh_passenger;785.32;881.37
107.00;130.90;veh2;21630401_2;32.24;0.00;11.39;veh_passenger;793.92;873.91
108.00;130.90;veh2;21630401_2;43.50;0.00;11.26;veh_passenger;802.43;866.54
109.00;130.90;veh2;21630401_2;51.63;0.00;8.14;veh_passenger;808.58;861.21
110.00;130.90;veh2;21630401_2;55.51;0.00;3.88;veh_passenger;811.51;858.67
111.00;130.90;veh2;21630401_2;55.77;0.00;0.26;veh_passenger;811.70;858.51
112.00;130.90;veh2;21630401_2;55.90;0.00;0.13;veh_passenger;811.80;858.42
113.00;130.90;veh2;21630401_2;55.94;0.00;0.04;veh_passenger;811.83;858.40
114.00;130.90;veh2;21630401_2;55.97;0.00;0.03;veh_passenger;811.85;858.38
115.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
116.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
117.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
118.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
119.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
120.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
121.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
122.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
123.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
124.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
125.00;130.90;veh2;21630401_2;55.97;0.00;0.00;veh_passenger;811.85;858.38
126.00;130.90;veh2;21630401_2;57.23;0.00;1.26;veh_passenger;812.81;857.55
127.00;130.90;veh2;21630401_2;60.23;0.00;3.00;veh_passenger;815.08;855.58
128.00;126.50;veh2;:cluster_232931730_244998283_15_0;0.93;0.00;5.16;veh_passenger;819.17;852.54
129.00;77.39;veh2;:cluster_232931730_244998283_15_0;7.98;0.00;7.05;veh_passenger;825.87;853.01
130.00;67.38;veh2;:cluster_232931730_244998283_15_0;10.53;0.00;2.55;veh_passenger;828.14;854.12
131.00;66.33;veh2;:cluster_232931730_244998283_15_0;10.85;0.00;0.33;veh_passenger;828.40;854.31
132.00;65.85;veh2;:cluster_232931730_244998283_15_0;11.00;0.00;0.15;veh_passenger;828.52;854.39
133.00;65.59;veh2;:cluster_232931730_244998283_15_0;11.08;0.00;0.08;veh_passenger;828.59;854.44
134.00;65.46;veh2;:cluster_232931730_244998283_15_0;11.12;0.00;0.04;veh_passenger;828.62;854.46
135.00;65.41;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.01;veh_passenger;828.63;854.47
136.00;65.41;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
137.00;65.40;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
138.00;65.40;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
139.00;65.40;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
140.00;65.40;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
141.00;65.40;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
142.00;65.40;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
143.00;65.40;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
144.00;65.40;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
145.00;65.40;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
146.00;65.40;veh2;:cluster_232931730_244998283_15_0;11.14;0.00;0.00;veh_passenger;828.64;854.47
147.00;58.16;veh2;:cluster_232931730_244998283_18_0;2.12;0.00;2.22;veh_passenger;830.45;855.76
148.00;54.63;veh2;:cluster_232931730_244998283_18_0;5.72;0.00;3.60;veh_passenger;833.38;857.84
149.00;46.80;veh2;:cluster_232931730_244998283_18_0;11.90;0.00;6.18;veh_passenger;837.95;862.00
150.00;45.26;veh2;93248643#0_1;3.00;0.00;8.76;veh_passenger;844.25;868.10
151.00;44.24;veh2;93248643#0_0;14.25;0.00;11.25;veh_passenger;854.34;873.87
152.00;44.24;veh2;93248643#0_0;25.15;0.00;10.90;veh_passenger;861.91;881.65
153.00;44.24;veh2;93248643#0_0;36.22;0.00;11.07;veh_passenger;869.60;889.54
154.00;48.21;veh2;93248643#0_0;47.43;0.00;11.21;veh_passenger;877.62;897.29
155.00;59.18;veh2;93248643#0_0;58.50;0.00;11.08;veh_passenger;886.69;903.48
156.00;59.18;veh2;93248643#0_0;69.02;0.00;10.51;veh_passenger;895.68;908.84
157.00;59.18;veh2;93248643#0_0;80.21;0.00;11.19;veh_passenger;905.25;914.55
158.00;59.18;veh2;93248643#0_0;91.89;0.00;11.69;veh_passenger;915.24;920.51
159.00;59.55;veh2;:249734579_1_0;8.68;0.00;10.66;veh_passenger;924.46;925.94
160.00;58.18;veh2;93248643#1_0;2.10;0.00;11.36;veh_passenger;934.24;931.83
161.00;56.30;veh2;93248643#1_0;10.51;0.00;8.40;veh_passenger;941.29;936.53
162.00;56.30;veh2;93248643#1_0;15.99;0.00;5.49;veh_passenger;945.89;939.60
163.00;56.30;veh2;93248643#1_0;19.61;0.00;3.62;veh_passenger;948.93;941.63
164.00;56.30;veh2;93248643#1_0;19.82;0.00;0.21;veh_passenger;949.11;941.75
165.00;56.30;veh2;93248643#1_0;19.99;0.00;0.17;veh_passenger;949.25;941.84
166.00;56.30;veh2;93248643#1_0;20.04;0.00;0.05;veh_passenger;949.29;941.87
167.00;56.30;veh2;93248643#1_0;20.06;0.00;0.02;veh_passenger;949.31;941.88
168.00;56.30;veh2;93248643#1_0;20.07;0.00;0.01;veh_passenger;949.32;941.89
169.00;56.30;veh2;93248643#1_0;20.07;0.00;0.00;veh_passenger;949.32;941.89
170.00;56.30;veh2;93248643#1_0;20.07;0.00;0.00;veh_passenger;949.32;941.89
171.00;56.30;veh2;93248643#1_0;20.07;0.00;0.00;veh_passenger;949.32;941.89
172.00;56.30;veh2;93248643#1_0;20.07;0.00;0.00;veh_passenger;949.32;941.89
173.00;56.30;veh2;93248643#1_0;20.09;0.00;0.02;veh_passenger;949.34;941.90
174.00;56.30;veh2;93248643#1_0;20.20;0.00;0.11;veh_passenger;949.43;941.96
175.00;56.30;veh2;93248643#1_0;20.38;0.00;0.18;veh_passenger;949.58;942.06
176.00;56.30;veh2;93248643#1_0;21.23;0.00;0.85;veh_passenger;950.29;942.54
177.00;56.30;veh2;93248643#1_0;22.52;0.00;1.29;veh_passenger;951.38;943.26
178.00;56.30;veh2;93248643#1_0;25.50;0.00;2.98;veh_passenger;953.88;944.93
179.00;56.30;veh2;93248643#1_0;27.99;0.00;2.49;veh_passenger;955.97;946.32
180.00;56.30;veh2;93248643#1_0;32.08;0.00;4.09;veh_passenger;959.40;948.61
181.00;56.30;veh2;93248643#1_0;37.16;0.00;5.09;veh_passenger;963.67;951.46
182.00;56.30;veh2;93248643#1_0;42.56;0.00;5.40;veh_passenger;968.20;954.48
183.00;56.30;veh2;93248643#1_0;47.21;0.00;4.65;veh_passenger;972.10;957.08
184.00;56.30;veh2;93248643#1_0;51.45;0.00;4.24;veh_passenger;975.66;959.46
185.00;56.30;veh2;93248643#1_0;56.54;0.00;5.09;veh_passenger;979.94;962.31
186.00;56.16;veh2;93248643#1_0;61.01;0.00;4.47;veh_passenger;983.68;964.82
187.00;44.44;veh2;93248643#1_0;66.41;0.00;5.40;veh_passenger;987.49;968.71
188.00;44.44;veh2;93248643#1_0;72.33;0.00;5.92;veh_passenger;991.67;972.97
189.00;44.44;veh2;93248643#1_0;77.03;0.00;4.70;veh_passenger;995.00;976.36
190.00;34.15;veh2;93248643#1_0;83.01;0.00;5.98;veh_passenger;998.45;981.30
191.00;34.15;veh2;93248643#1_0;89.05;0.00;6.04;veh_passenger;1001.87;986.34
192.00;33.26;veh2;93248643#1_0;95.56;0.00;6.51;veh_passenger;1005.49;991.82
193.00;23.44;veh2;93248643#1_0;102.08;0.00;6.52;veh_passenger;1008.10;997.85
194.00;23.44;veh2;93248643#1_0;109.20;0.00;7.13;veh_passenger;1010.97;1004.45
195.00;23.44;veh2;93248643#1_0;116.68;0.00;7.47;veh_passenger;1013.96;1011.37
196.00;23.44;veh2;93248643#1_0;123.44;0.00;6.76;veh_passenger;1016.68;1017.62
197.00;16.28;veh2;93248643#1_0;130.54;0.00;7.10;veh_passenger;1018.93;1024.39
198.00;11.64;veh2;93248643#1_0;138.15;0.00;7.62;veh_passenger;1020.48;1031.92
199.00;11.82;veh2;:cluster_1836874896_4586161737_5_0;8.36;0.00;9.40;veh_passenger;1022.40;1041.12
200.00;13.73;veh2;:cluster_1836874896_4586161737_5_0;20.08;0.00;11.72;veh_passenger;1025.05;1052.54
201.00;20.88;veh2;221651080#0_0;1.19;0.00;11.15;veh_passenger;1028.49;1063.12
202.00;21.97;veh2;221651080#0_0;12.69;0.00;11.50;veh_passenger;1033.19;1073.61
203.00;21.28;veh2;221651080#0_0;24.35;0.00;11.66;veh_passenger;1037.42;1084.47
204.00;21.28;veh2;221651080#0_0;35.75;0.00;11.40;veh_passenger;1041.56;1095.09
205.00;28.92;veh2;221651080#0_0;47.50;0.00;11.76;veh_passenger;1046.85;1105.56
206.00;28.92;veh2;221651080#0_0;58.82;0.00;11.32;veh_passenger;1052.33;1115.47
207.00;38.17;veh2;221651080#0_0;67.95;0.00;9.14;veh_passenger;1057.89;1122.70
208.00;38.17;veh2;221651080#0_0;72.85;0.00;4.90;veh_passenger;1060.92;1126.55
209.00;39.81;veh2;:2306840817_3_0;6.39;0.00;7.46;veh_passenger;1065.67;1132.29
210.00;40.45;veh2;221651080#1_0;2.34;0.00;9.16;veh_passenger;1071.57;1139.29
211.00;41.18;veh2;221651080#1_0;13.56;0.00;11.23;veh_passenger;1078.96;1147.74
212.00;41.18;veh2;221651080#1_0;23.98;0.00;10.41;veh_passenger;1085.82;1155.58
213.00;41.18;veh2;221651080#1_0;30.21;0.00;6.23;veh_passenger;1089.92;1160.27
214.00;41.18;veh2;221651080#1_0;33.74;0.00;3.53;veh_passenger;1092.25;1162.93
215.00;41.18;veh2;221651080#1_0;34.10;0.00;0.36;veh_passenger;1092.49;1163.20
216.00;41.18;veh2;221651080#1_0;34.21;0.00;0.11;veh_passenger;1092.56;1163.28
217.00;41.18;veh2;221651080#1_0;34.24;0.00;0.03;veh_passenger;1092.58;1163.31
218.00;41.18;veh2;221651080#1_0;34.25;0.00;0.01;veh_passenger;1092.58;1163.31
219.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
220.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
221.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
222.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
223.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
224.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
225.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
226.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
227.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
228.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
229.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
230.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
231.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
232.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
233.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
234.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
235.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
236.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
237.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
238.00;41.18;veh2;221651080#1_0;34.25;0.00;0.00;veh_passenger;1092.58;1163.31
239.00;41.18;veh2;221651080#1_0;36.01;0.00;1.76;veh_passenger;1093.74;1164.64
240.00;41.18;veh2;221651080#1_0;39.96;0.00;3.95;veh_passenger;1096.34;1167.61
241.00;41.18;veh2;221651080#1_0;46.32;0.00;6.36;veh_passenger;1100.54;1172.40
